No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;Time 1
71;0.113440;192.168.100.17;35.186.224.47;TLSv1.2;97;Application Data;;;;;;;;;0.113440
72;0.139595;35.186.224.47;192.168.100.17;TCP;54;443  >  65379 [ACK] Seq=1 Ack=44 Win=272 Len=0;;;;;;;;;0.139595
73;0.191037;35.186.224.47;192.168.100.17;TLSv1.2;94;Application Data;;;;;;;;;0.191037
74;0.233036;192.168.100.17;35.186.224.47;TCP;54;65379  >  443 [ACK] Seq=44 Ack=41 Win=255 Len=0;;;;;;;;;0.233036
75;1.504.507;192.168.100.17;35.186.224.25;TLSv1.2;136;Application Data;;;;;;;;;1504507
76;1.504.664;192.168.100.17;35.186.224.25;TLSv1.2;93;Application Data;;;;;;;;;1504664
77;1.504.716;192.168.100.17;35.186.224.25;TLSv1.2;581;Application Data;;;;;;;;;1504716
78;1.520.187;35.186.224.25;192.168.100.17;TCP;56;443  >  55359 [ACK] Seq=1 Ack=83 Win=1037 Len=0;;;;;;;;;1520187
79;1.521.212;35.186.224.25;192.168.100.17;TCP;56;443  >  55359 [ACK] Seq=1 Ack=122 Win=1037 Len=0;;;;;;;;;1521212
80;1.521.560;35.186.224.25;192.168.100.17;TCP;56;443  >  55359 [ACK] Seq=1 Ack=649 Win=1048 Len=0;;;;;;;;;1521560
81;1.522.981;35.186.224.25;192.168.100.17;TLSv1.2;93;Application Data;;;;;;;;;1522981
82;1.568.229;192.168.100.17;35.186.224.25;TCP;54;55359  >  443 [ACK] Seq=649 Ack=40 Win=512 Len=0;;;;;;;;;1568229
83;1.640.506;35.186.224.25;192.168.100.17;TLSv1.2;140;Application Data;;;;;;;;;1640506
84;1.642.437;192.168.100.17;35.186.224.25;TLSv1.2;93;Application Data;;;;;;;;;1642437
85;1.663.724;35.186.224.25;192.168.100.17;TCP;56;443  >  55359 [ACK] Seq=126 Ack=688 Win=1048 Len=0;;;;;;;;;1663724
86;2.306.039;131.253.33.203;192.168.100.17;TCP;54;443  >  63189 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;;;;;;;;2306039
87;2.478.914;192.168.100.17;20.197.71.89;TLSv1.2;97;Application Data;;;;;;;;;2478914
88;2.510.467;20.197.71.89;192.168.100.17;TLSv1.2;228;Application Data;;;;;;;;;2510467
89;2.548.934;192.168.100.17;35.186.224.47;TLSv1.2;89;Application Data;;;;;;;;;2548934
90;2.559.218;192.168.100.17;20.197.71.89;TCP;54;63072  >  443 [ACK] Seq=44 Ack=175 Win=258 Len=0;;;;;;;;;2559218
91;2.563.406;35.186.224.47;192.168.100.17;TCP;56;443  >  65461 [ACK] Seq=1 Ack=36 Win=266 Len=0;;;;;;;;;2563406
92;2.622.291;35.186.224.47;192.168.100.17;TLSv1.2;85;Application Data;;;;;;;;;2622291
93;2.672.791;192.168.100.17;35.186.224.47;TCP;54;65461  >  443 [ACK] Seq=36 Ack=32 Win=509 Len=0;;;;;;;;;2672791
113;8.860.656;13.67.74.235;192.168.100.17;TLSv1.2;353;Application Data;;;;;;;;;8860656
114;8.863.004;192.168.100.17;13.67.74.235;TLSv1.2;96;Application Data;;;;;;;;;8863004
115;8.897.688;192.168.100.17;13.67.74.235;TLSv1.2;219;Application Data;;;;;;;;;8897688
116;8.925.430;13.67.74.235;192.168.100.17;TCP;54;443  >  63080 [ACK] Seq=300 Ack=208 Win=2050 Len=0;;;;;;;;;8925430
117;8.950.397;192.168.100.17;52.163.231.110;TLSv1.2;112;Application Data;;;;;;;;;8950397
118;8.977.832;52.163.231.110;192.168.100.17;TLSv1.2;101;Application Data;;;;;;;;;8977832
119;8.983.482;192.168.100.17;35.186.224.25;TCP;55;55370  >  443 [ACK] Seq=1 Ack=1 Win=508 Len=1 [TCP segment of a reassembled PDU];;;;;;;;;8983482
120;9.013.712;35.186.224.25;192.168.100.17;TCP;66;443  >  55370 [ACK] Seq=1 Ack=2 Win=597 Len=0 SLE=1 SRE=2;;;;;;;;;9013712
121;9.025.580;192.168.100.17;52.163.231.110;TCP;54;63081  >  443 [ACK] Seq=59 Ack=48 Win=256 Len=0;;;;;;;;;9025580
188;9.281.564;192.168.100.17;35.186.224.13;TCP;55;65460  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1 [TCP segment of a reassembled PDU];;;;;;;;;9281564
189;9.345.238;35.186.224.13;192.168.100.17;TCP;66;443  >  65460 [ACK] Seq=1 Ack=2 Win=736 Len=0 SLE=1 SRE=2;;;;;;;;;9345238
190;11.726.256;13.107.21.200;192.168.100.17;TCP;56;443  >  63193 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;;;;;;;;11726256
191;12.342.734;157.240.208.60;192.168.100.17;TLSv1.2;93;Application Data;;;;;;;;;12342734
192;12.342.734;157.240.208.60;192.168.100.17;TCP;54;443  >  63198 [FIN, ACK] Seq=40 Ack=1 Win=65535 Len=0;;;;;;;;;12342734
193;12.342.871;192.168.100.17;157.240.208.60;TCP;54;63198  >  443 [ACK] Seq=1 Ack=41 Win=64913 Len=0;;;;;;;;;12342871
194;12.343.360;192.168.100.17;157.240.208.60;TCP;54;63198  >  443 [FIN, ACK] Seq=1 Ack=41 Win=64913 Len=0;;;;;;;;;12343360
195;12.356.826;157.240.208.60;192.168.100.17;TCP;56;443  >  63198 [ACK] Seq=41 Ack=2 Win=65535 Len=0;;;;;;;;;12356826
196;12.660.664;192.168.100.17;162.159.133.234;TLSv1.2;105;Application Data;;;;;;;;;12660664
197;12.677.476;162.159.133.234;192.168.100.17;TCP;56;443  >  63063 [ACK] Seq=1 Ack=52 Win=76 Len=0;;;;;;;;;12677476
198;12.955.965;162.159.133.234;192.168.100.17;TLSv1.2;86;Application Data;;;;;;;;;12955965
199;13.008.530;192.168.100.17;162.159.133.234;TCP;54;63063  >  443 [ACK] Seq=52 Ack=33 Win=510 Len=0;;;;;;;;;13008530
207;17.912.177;192.168.100.17;157.240.208.60;TLSv1.2;85;Application Data;;;;;;;;;17912177
208;17.928.122;157.240.208.60;192.168.100.17;TCP;56;443  >  63179 [ACK] Seq=1 Ack=32 Win=65535 Len=0;;;;;;;;;17928122
209;18.179.382;157.240.208.60;192.168.100.17;TLSv1.2;92;Application Data;;;;;;;;;18179382
210;0.113440;192.168.100.17;157.240.208.60;TCP;54;63179  >  443 [ACK] Seq=32 Ack=39 Win=64043 Len=0;;;;;;;;;0.113440
1278;0.139595;192.168.100.17;104.26.14.183;TCP;55;63100  >  443 [ACK] Seq=1 Ack=1 Win=64952 Len=1 [TCP segment of a reassembled PDU];;;;;;;;;0.139595
1454;0.191037;104.26.14.183;192.168.100.17;TCP;54;443  >  63100 [ACK] Seq=1 Ack=2 Win=65535 Len=0;;;;;;;;;0.191037
1744;0.233036;192.168.100.17;52.113.194.132;TCP;66;63201  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;0.233036
1745;16.216.533;52.113.194.132;192.168.100.17;TCP;66;443  >  63201 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1;;;;;;;;;16216532,53
1746;16.620.372;192.168.100.17;52.113.194.132;TCP;54;63201  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0;;;;;;;;;16620372,32
1747;17.024.212;192.168.100.17;52.113.194.132;TLSv1.2;626;Client Hello;;;;;;;;;17024212,1
1748;17.428.052;52.113.194.132;192.168.100.17;TCP;54;443  >  63201 [ACK] Seq=1 Ack=573 Win=524544 Len=0;;;;;;;;;17428051,88
1749;17.831.892;52.113.194.132;192.168.100.17;TLSv1.2;208;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;17831891,67
1750;18.235.731;192.168.100.17;52.113.194.132;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;18235731,45
1751;18.639.571;192.168.100.17;52.113.194.132;TLSv1.2;153;Application Data;;;;;;;;;18639571,24
1752;19.043.411;192.168.100.17;52.113.194.132;TLSv1.2;1197;Application Data;;;;;;;;;19043411,02
1753;19.447.251;52.113.194.132;192.168.100.17;TCP;56;443  >  63201 [ACK] Seq=155 Ack=624 Win=524544 Len=0;;;;;;;;;19447250,81
1754;19.851.091;52.113.194.132;192.168.100.17;TLSv1.2;123;Application Data;;;;;;;;;19851090,59
1755;20.254.930;52.113.194.132;192.168.100.17;TCP;56;443  >  63201 [ACK] Seq=224 Ack=723 Win=524288 Len=0;;;;;;;;;20254930,37
1756;20.658.770;192.168.100.17;52.113.194.132;TLSv1.2;92;Application Data;;;;;;;;;20658770,16
1757;21.062.610;52.113.194.132;192.168.100.17;TLSv1.2;92;Application Data;;;;;;;;;21062609,94
1758;21.466.450;52.113.194.132;192.168.100.17;TCP;56;443  >  63201 [ACK] Seq=262 Ack=1904 Win=525056 Len=0;;;;;;;;;21466449,73
1759;21.870.290;192.168.100.17;52.113.194.132;TCP;54;63201  >  443 [ACK] Seq=1904 Ack=262 Win=130816 Len=0;;;;;;;;;21870289,51
1760;22.275.565;52.113.194.132;192.168.100.17;TLSv1.2;399;Application Data;;;;;;;;;22275565
1761;22.275.565;52.113.194.132;192.168.100.17;TLSv1.2;183;Application Data;;;;;;;;;22275565
1762;22.275.565;52.113.194.132;192.168.100.17;TLSv1.2;92;Application Data;;;;;;;;;22275565
1763;22.275.672;192.168.100.17;52.113.194.132;TCP;54;63201  >  443 [ACK] Seq=1904 Ack=774 Win=130304 Len=0;;;;;;;;;22275672
1768;22.348.154;192.168.100.17;40.74.79.81;TCP;66;63202  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;22348154
1769;22.441.638;40.74.79.81;192.168.100.17;TCP;66;443  >  63202 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1;;;;;;;;;22441638
1770;22.441.807;192.168.100.17;40.74.79.81;TCP;54;63202  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0;;;;;;;;;22441807
1771;22.442.189;192.168.100.17;40.74.79.81;TLSv1.2;571;Client Hello;;;;;;;;;22442189
1772;22.537.422;40.74.79.81;192.168.100.17;TCP;1466;443  >  63202 [ACK] Seq=1 Ack=518 Win=524544 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;22537422
1773;22.537.422;40.74.79.81;192.168.100.17;TCP;1466;443  >  63202 [ACK] Seq=1413 Ack=518 Win=524544 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;22537422
1774;22.537.422;40.74.79.81;192.168.100.17;TCP;1466;443  >  63202 [ACK] Seq=2825 Ack=518 Win=524544 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;22537422
1775;22.537.508;192.168.100.17;40.74.79.81;TCP;54;63202  >  443 [ACK] Seq=518 Ack=4237 Win=131072 Len=0;;;;;;;;;22537508
1776;22.540.062;40.74.79.81;192.168.100.17;TCP;1466;443  >  63202 [ACK] Seq=4237 Ack=518 Win=524544 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;22540062
1777;22.540.062;40.74.79.81;192.168.100.17;TLSv1.2;151;Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;;;;;;;;22540062
1778;22.540.146;192.168.100.17;40.74.79.81;TCP;54;63202  >  443 [ACK] Seq=518 Ack=5746 Win=131072 Len=0;;;;;;;;;22540146
1779;22.548.235;192.168.100.17;40.74.79.81;TLSv1.2;212;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;22548235
1780;22.548.420;192.168.100.17;40.74.79.81;TLSv1.2;153;Application Data;;;;;;;;;22548420
1781;22.548.550;192.168.100.17;40.74.79.81;TLSv1.2;1073;Application Data;;;;;;;;;22548550
1782;22.639.296;40.74.79.81;192.168.100.17;TCP;56;443  >  63202 [ACK] Seq=5746 Ack=775 Win=524288 Len=0;;;;;;;;;22639296
1783;22.640.923;40.74.79.81;192.168.100.17;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;22640923
1784;22.640.923;40.74.79.81;192.168.100.17;TLSv1.2;152;Application Data, Application Data;;;;;;;;;22640923
1785;22.640.983;192.168.100.17;40.74.79.81;TCP;54;63202  >  443 [ACK] Seq=1794 Ack=5895 Win=131072 Len=0;;;;;;;;;22640983
1786;22.641.188;192.168.100.17;40.74.79.81;TLSv1.2;92;Application Data;;;;;;;;;22641188
1787;22.642.427;40.74.79.81;192.168.100.17;TLSv1.2;92;Application Data;;;;;;;;;22642427
1788;22.688.260;192.168.100.17;40.74.79.81;TCP;54;63202  >  443 [ACK] Seq=1832 Ack=5933 Win=131072 Len=0;;;;;;;;;22688260
1789;22.737.466;40.74.79.81;192.168.100.17;TLSv1.2;1055;Application Data;;;;;;;;;22737466
1790;22.737.466;40.74.79.81;192.168.100.17;TLSv1.2;92;Application Data;;;;;;;;;22737466
1791;22.737.532;192.168.100.17;40.74.79.81;TCP;54;63202  >  443 [ACK] Seq=1832 Ack=6972 Win=130048 Len=0;;;;;;;;;22737532
1792;22.781.332;40.74.79.81;192.168.100.17;TCP;56;443  >  63202 [ACK] Seq=6972 Ack=1832 Win=525056 Len=0;;;;;;;;;22781332
1793;25.977.990;192.168.100.17;74.125.200.103;TCP;55;63199  >  443 [ACK] Seq=1 Ack=1 Win=64952 Len=1 [TCP segment of a reassembled PDU];;;;;;;;;25977990
1794;26.004.540;74.125.200.103;192.168.100.17;TCP;54;443  >  63199 [ACK] Seq=1 Ack=2 Win=65535 Len=0;;;;;;;;;26004540
1798;28.009.527;192.168.100.17;31.13.95.60;TCP;66;63203  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;28009527
1799;28.024.309;31.13.95.60;192.168.100.17;TCP;58;443  >  63203 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1412;;;;;;;;;28024309
1800;28.024.385;192.168.100.17;31.13.95.60;TCP;54;63203  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0;;;;;;;;;28024385
1801;28.024.670;192.168.100.17;31.13.95.60;TLSv1.3;571;Client Hello;;;;;;;;;28024670
1802;28.037.869;31.13.95.60;192.168.100.17;TCP;58;[TCP Window Update] 443  >  63203 [ACK] Seq=1 Ack=1 Win=65535 Len=0;;;;;;;;;28037869
1803;28.038.892;31.13.95.60;192.168.100.17;TCP;56;[TCP Dup ACK 1799#1] 443  >  63203 [ACK] Seq=1 Ack=1 Win=65535 Len=0;;;;;;;;;28038892
1804;28.247.857;192.168.100.17;31.13.95.60;TCP;571;[TCP Retransmission] 63203  >  443 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=517;;;;;;;;;28247857
1805;28.277.332;31.13.95.60;192.168.100.17;TCP;56;443  >  63203 [ACK] Seq=1 Ack=518 Win=65535 Len=0;;;;;;;;;28277332
1806;28.278.772;31.13.95.60;192.168.100.17;TLSv1.3;266;Server Hello, Change Cipher Spec, Application Data;;;;;;;;;28278772
1807;28.279.401;192.168.100.17;31.13.95.60;TLSv1.3;118;Change Cipher Spec, Application Data;;;;;;;;;28279401
1808;28.279.629;192.168.100.17;31.13.95.60;TLSv1.3;146;Application Data;;;;;;;;;28279629
1809;28.279.880;192.168.100.17;31.13.95.60;TLSv1.3;362;Application Data;;;;;;;;;28279880
1810;28.280.071;192.168.100.17;31.13.95.60;TCP;1466;63203  >  443 [ACK] Seq=982 Ack=213 Win=64028 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;28280071
